id,name,description,price,category,stock_count,features
1,"Quantum Pro","The Quantum Pro is a state-of-the-art smartphone featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",956.34,Smartphone,128,"Face ID, Wireless Charging, OLED Display"
2,"Apex Air","The Apex Air is a state-of-the-art laptop featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",1899.50,Laptop,55,"NVIDIA RTX 4080, 1TB NVMe SSD, Thunderbolt 4"
3,"Echo ANC","The Echo ANC is a state-of-the-art headphones featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",199.99,Headphones,250,"Active Noise Cancellation, Bluetooth 5.3, 30-Hour Battery"
4,"Chrono Fit","The Chrono Fit is a state-of-the-art smartwatch featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",349.00,Smartwatch,312,"Heart Rate Monitor, GPS Tracking, Water Resistant 50m"
5,"Cyber TKL","The Cyber TKL is a state-of-the-art gaming keyboard featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",129.95,Gaming Keyboard,88,"Mechanical Switches, RGB Lighting, N-Key Rollover"
6,"Sky 4K","The Sky 4K is a state-of-the-art drone featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",899.00,Drone,42,"4K Video, 3-Axis Gimbal, Obstacle Avoidance"
7,"Vision 4K","The Vision 4K is a state-of-the-art monitor featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",749.50,Monitor,110,"4K Resolution, 144Hz Refresh Rate, HDR10 Support"
8,"Tab Pro","The Tab Pro is a state-of-the-art tablet featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",999.00,Tablet,150,"Liquid Retina Display, M2 Chip, Apple Pencil Support"
9,"Net WiFi 6E","The Net WiFi 6E is a state-of-the-art router featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",249.99,Router,200,"WiFi 6E Technology, WPA3 Security, Mesh Network Support"
10,"Lumo DSLR","The Lumo DSLR is a state-of-the-art camera featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",1799.00,Camera,75,"Full-Frame Sensor, 8K Video Recording, In-Body Image Stabilization"
11,"Nova Max","The Nova Max is a state-of-the-art smartphone featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",1250.75,Smartphone,95,"Triple-Camera System, 5G Connectivity, Wireless Charging"
12,"Titan Pro X","The Titan Pro X is a state-of-the-art laptop featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",2450.00,Laptop,30,"Intel Core i9, 16GB DDR5 RAM, 1TB NVMe SSD"
13,"Sonic Studio","The Sonic Studio is a state-of-the-art headphones featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",299.99,Headphones,180,"Hi-Res Audio, Active Noise Cancellation, Built-in Microphone"
14,"Vita Series 8","The Vita Series 8 is a state-of-the-art smartwatch featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",499.00,Smartwatch,220,"ECG App, Sleep Tracking, Fall Detection"
15,"Raptor Elite","The Raptor Elite is a state-of-the-art gaming keyboard featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",179.99,Gaming Keyboard,60,"Programmable Macros, Detachable Wrist Rest, RGB Lighting"
16,"Falcon Pro","The Falcon Pro is a state-of-the-art drone featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",1499.00,Drone,25,"30-Min Flight Time, GPS Return-to-Home, 4K Video"
17,"Spectra UWQHD","The Spectra UWQHD is a state-of-the-art monitor featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",999.99,Monitor,85,"34-inch Ultrawide, USB-C Hub, Adjustable Stand"
18,"Pad Air","The Pad Air is a state-of-the-art tablet featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",799.00,Tablet,190,"M2 Chip, 12MP Ultra Wide Camera, USB-C Connector"
19,"Link Mesh","The Link Mesh is a state-of-the-art router featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",329.50,Router,130,"Mesh Network Support, Parental Controls, WiFi 6E Technology"
20,"Capture Mirrorless","The Capture Mirrorless is a state-of-the-art camera featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",2599.00,Camera,50,"45MP Resolution, Dual Card Slots, 8K Video Recording"
21,"Astro Z9","The Astro Z9 is a state-of-the-art smartphone featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",1199.99,Smartphone,115,"All-day battery, Face ID, OLED Display"
22,"Zenith Ultra","The Zenith Ultra is a state-of-the-art laptop featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",2899.00,Laptop,22,"Thunderbolt 4, NVIDIA RTX 4080, Backlit Keyboard"
23,"Aura Pro","The Aura Pro is a state-of-the-art headphones featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",249.99,Headphones,300,"ComfortFit Design, 30-Hour Battery, Bluetooth 5.3"
